,coordinates,elevation
8,"(44.5271978, -72.7980685)",730
9,"(44.5271076, -72.797689)",677
10,"(44.5269769, -72.7973378)",747
11,"(44.5269285, -72.7972713)",747
12,"(44.5266938, -72.797068)",747
13,"(44.5265719, -72.7969841)",747
0,"(44.5228359, -72.8009705)",979
1,"(44.5225842, -72.8004663)",979
2,"(44.5223775, -72.7998927)",914
3,"(44.5223865, -72.7995775)",914
4,"(44.5223461, -72.7993443)",914
5,"(44.5222472, -72.7990733)",914
6,"(44.5221573, -72.7987014)",914
7,"(44.5221663, -72.7983169)",914
8,"(44.5222112, -72.7979765)",914
9,"(44.5225546, -72.797682)",858
0,"(44.5376996, -72.8135232)",1124
1,"(44.5380411, -72.8129623)",1124
2,"(44.5382509, -72.8123266)",1059
3,"(44.5383241, -72.812105)",1059
4,"(44.5384454, -72.8113676)",1059
5,"(44.5385038, -72.8108066)",1059
6,"(44.538688, -72.8101132)",1003
7,"(44.5386341, -72.8095523)",1003
8,"(44.5385802, -72.809319)",1003
0,"(44.5195106, -72.7932211)",765
1,"(44.5194597, -72.7928576)",765
2,"(44.5192455, -72.7925572)",765
3,"(44.5190015, -72.7924295)",765
4,"(44.5188477, -72.7920636)",765
5,"(44.5186488, -72.7915486)",719
6,"(44.5184499, -72.7911624)",719
7,"(44.5181439, -72.790862)",719
8,"(44.5179144, -72.7904758)",719
9,"(44.517792, -72.7899393)",719
10,"(44.5177461, -72.7895102)",677
11,"(44.5178379, -72.7891883)",677
12,"(44.5180062, -72.7888879)",677
13,"(44.5182816, -72.7887591)",677
14,"(44.5184652, -72.7885875)",677
15,"(44.5186641, -72.7882871)",677
16,"(44.5188365, -72.7880518)",666
17,"(44.5190493, -72.7879307)",666
18,"(44.5195095, -72.7877936)",666
19,"(44.5198317, -72.7876968)",666
20,"(44.5200905, -72.7875233)",666
21,"(44.5203667, -72.7871643)",629
22,"(44.5205824, -72.7868738)",629
23,"(44.5208096, -72.7866641)",629
24,"(44.5210713, -72.786531)",612
25,"(44.5213446, -72.7865148)",612
26,"(44.5217056, -72.7866187)",612
0,"(44.5469768, -72.7806994)",873
1,"(44.5468173, -72.7803295)",873
2,"(44.5467081, -72.7800641)",873
3,"(44.5466276, -72.7799794)",873
4,"(44.546458, -72.7800036)",873
5,"(44.5462596, -72.7800964)",873
6,"(44.5460842, -72.7802295)",873
7,"(44.5457999, -72.780359)",810
8,"(44.5456383, -72.78031)",810
9,"(44.5454316, -72.7801776)",810
10,"(44.5452385, -72.7800011)",810
11,"(44.5450273, -72.7800263)",810
12,"(44.5445575, -72.7802864)",810
0,"(44.5515766, -72.7827164)",998
1,"(44.5511948, -72.7826092)",998
2,"(44.5507198, -72.782499)",998
3,"(44.5505973, -72.7824705)",998
4,"(44.5500853, -72.7822878)",998
5,"(44.549734, -72.7821819)",935
6,"(44.549416, -72.7820861)",935
7,"(44.5490521, -72.7819852)",935
8,"(44.5487467, -72.7817205)",935
9,"(44.5482571, -72.7815818)",935
10,"(44.5478438, -72.7813675)",910
11,"(44.5476057, -72.7810271)",873
12,"(44.5473137, -72.7807057)",873
13,"(44.5469768, -72.7806994)",873
14,"(44.546577, -72.7805733)",873
15,"(44.5461099, -72.7804157)",873
16,"(44.5457999, -72.780359)",810
17,"(44.5454765, -72.7805418)",810
18,"(44.5452249, -72.7805481)",810
19,"(44.54487, -72.7803905)",810
20,"(44.5445575, -72.7802864)",810
21,"(44.5441512, -72.780151)",810
0,"(44.5509029, -72.7813184)",998
1,"(44.5507097, -72.781331)",998
2,"(44.5504312, -72.7815579)",998
3,"(44.5501123, -72.7819298)",998
4,"(44.5498608, -72.7820811)",935
5,"(44.549734, -72.7821819)",935
6,"(44.5494057, -72.782451)",935
7,"(44.549034, -72.7827625)",935
0,"(44.5477395, -72.7823472)",910
1,"(44.5475647, -72.7821891)",910
2,"(44.5473692, -72.7820439)",910
3,"(44.5471369, -72.7819793)",910
4,"(44.5469483, -72.7820406)",910
5,"(44.5466999, -72.7821149)",910
6,"(44.5465021, -72.7821181)",910
7,"(44.5462675, -72.7821052)",910
8,"(44.5460582, -72.7822149)",910
9,"(44.545911, -72.7823343)",910
10,"(44.5455798, -72.7824699)",836
11,"(44.5452256, -72.782557)",836
12,"(44.5447978, -72.7825667)",836
13,"(44.5446, -72.7825312)",836
14,"(44.5444804, -72.7824376)",836
15,"(44.5442274, -72.7823472)",836
16,"(44.5439468, -72.7823537)",836
17,"(44.5437858, -72.7824053)",836
18,"(44.5436225, -72.7824182)",760
19,"(44.5434155, -72.7822633)",760
20,"(44.5432453, -72.7819922)",760
21,"(44.5431579, -72.7817437)",760
22,"(44.5428911, -72.7815985)",760
23,"(44.542201, -72.7811596)",738
24,"(44.5421051, -72.7810781)",738
25,"(44.5419778, -72.781212)",738
26,"(44.541839, -72.7813174)",760
27,"(44.5416729, -72.7814035)",760
28,"(44.5416026, -72.7814702)",706
0,"(44.5232886, -72.7926635)",704
1,"(44.5237953, -72.7926162)",704
2,"(44.5242391, -72.7926312)",704
3,"(44.5244102, -72.792601)",704
4,"(44.524602, -72.7925229)",704
5,"(44.524717, -72.7924196)",704
6,"(44.5247401, -72.7922808)",704
7,"(44.5247078, -72.7921098)",704
8,"(44.5245813, -72.7918516)",704
9,"(44.5243926, -72.7915966)",645
10,"(44.5241717, -72.7913385)",645
11,"(44.5240358, -72.7911873)",645
0,"(44.5382509, -72.8123266)",1059
1,"(44.538117, -72.8123097)",1059
2,"(44.5379992, -72.8122217)",1059
3,"(44.5377003, -72.8121583)",1059
